dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	el16	el17	el18	el19	el20	el21	el22	el23	el24	el25	el26	el27	el28	el29	el30	el31	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	stat45	stat46	stat47	stat48	stat49	stat50	stat51	stat52	stat53	stat54	stat55	stat56	stat57	stat58	stat59	stat60	stat61	stat62	stat63	stat64	stat65	stat66	stat67	stat68	stat69	stat70	stat71	stat72	stat73	stat74	stat75	stat76	class
0.015199	0.066942	0.2939	0.26341	0.3588	0.29648	0.22176	0.40685	0.3422	0.30143	0.27643	0.3161	0.26453	0.24537	0.33731	0.31978	0.23957	0.3174	0.35715	0.25517	0.097216	0.068332	0.18987	0.027504	0.020372	0.01736	0.024063	0.024701	0.017915	0.034363	0.013628	0.026505	0.025625	0.40685	0.29436	0.13925	-0.15511	0.095653	0.29651	0.30108	0.30455	0.3051	0.29002	0.40234	0.070623	0.34933	0.79065	0.85922	0.013199	0.068739	0.1021	0.1832	0.14911	0.11107	0.20455	0.18126	0.146	0.053388	0.058931	0.0774	0.10112	0.16895	0.1602	0.11902	0.11718	0.11065	0.1299	0.034538	0.024085	0.028413	0.0036829	0.0047324	0.0086957	0.011807	0.0081328	0.0051467	0.0027907	0.0094751	0.0092592	0.0077665	0.18372	0.30588	0.1818	0.24097	0.067951	0.080333	0.01709	0.11783	0.13623	0.1414	0.13667	0.062586	0.14097	-0.13656	0.055734	0.026493	0.10469	0.14142	0.14118	0.14112	0.096378	0.080151	0.11579	0.13841	0.12672	-0.14131	-0.11874	-0.13608	0.14133	0.11891	0.071283	0.1374	-0.09494	-0.12574	-0.097664	0.065736	-0.0008663	0.044911	0.11407	0.13193	-0.049704	-0.039656	-0.01144	-0.0067731	1.9155	1176
0.012228	0.17969	0.15239	0.14158	0.13367	0.19318	0.10944	0.28278	0.1451	0.15264	0.10707	0.11587	0.23359	0.33989	0.27542	0.29384	0.26724	0.44022	0.55227	0.59962	0.55989	0.35935	0.29193	0.026549	0.02699	0.038454	0.024037	0.021722	0.026178	0.022301	0.016987	0.029131	0.022916	0.59962	0.36587	0.20091	-0.16495	0.064438	0.39879	0.4738	0.55911	0.64684	0.71011	0.3125	0.11614	0.64053	0.58764	0.58962	0.094972	0.038784	0.047522	0.059889	0.080483	0.041896	0.13611	0.046574	0.065283	0.059053	0.037557	0.11808	0.17302	0.13868	0.15444	0.13652	0.22661	0.28861	0.31837	0.29498	0.1885	0.14723	0.0038459	0.013643	0.0051241	0.0052556	0.0076151	0.01648	0.0042251	0.0042267	0.014082	0.0028903	0.13014	0.28272	0.14634	0.21638	0.079391	-0.13946	0.090622	0.046787	0.10088	0.13641	0.023206	-0.10467	0.10524	0.038359	0.081303	0.12992	0.12137	0.13475	0.085231	0.11722	0.10828	0.091411	0.072727	0.071946	0.076557	0.13275	0.13846	0.12995	-0.13611	-0.12889	0.01935	-0.1276	-0.13901	-0.054509	0.14104	-0.036107	0.096373	0.048319	0.024122	0.19849	-0.026456	-0.026719	-0.03541	0.030617	1.8642	667.5
0.011157	0.43219	0.41553	0.18889	0.15518	0.23596	0.18847	0.17253	0.18309	0.15722	0.15338	0.22974	0.16294	0.27345	0.24203	0.12784	0.23269	0.19085	0.071428	0.092141	0.05913	0.062721	0.17608	0.013279	0.0105	0.0080637	0.016574	0.0089369	0.0096614	0.014457	0.0087739	0.011626	0.010247	0.43219	0.22996	0.1502	-0.079757	0.049536	0.26417	0.3484	0.45504	0.57615	0.66582	0.3125	0.15005	0.74566	0.73714	0.85611	0.15723	0.2006	0.13866	0.07361	0.12573	0.097146	0.011315	0.067654	0.066096	0.060697	0.12068	0.092824	0.163	0.13366	0.078064	0.12959	0.098987	0.040222	0.053689	0.029618	0.034469	0.094406	0.0027322	0.0042859	0.0014716	0.0054388	0.0011882	0.0017474	0.0059343	0.003996	0.0060175	0.00077182	0.18937	0.28789	0.24637	0.25205	-0.13609	-0.14128	-0.10979	-0.017152	0.071037	0.10678	0.05032	0.1393	0.13834	0.03801	0.085887	0.011424	-0.020915	0.037219	-0.035851	0.029905	0.057141	0.020703	-0.0053989	0.14133	0.041563	0.064864	-0.14094	-0.048566	-0.071469	0.14126	-0.14128	0.081173	-0.11497	0.052325	0.10208	-0.14023	0.095423	0.010182	0.077497	0.086647	-0.044873	-0.054333	-0.044125	-0.041742	2.0058	667
0.0062988	0.088741	0.10972	0.098057	0.15613	0.11085	0.098768	0.17658	0.1312	0.19376	0.23225	0.19252	0.22999	0.20351	0.18763	0.22449	0.16782	0.082543	0.18244	0.097513	0.126	0.087129	0.063378	0.016574	0.014337	0.013516	0.014309	0.014488	0.01767	0.01326	0.012642	0.014647	0.010602	0.23225	0.19737	0.11489	-0.082486	0.034033	0.24437	0.37399	0.56339	0.80149	0.9145	0.29297	0.13173	0.6627	0.72148	0.73833	0.025326	0.014622	0.049306	0.046208	0.055757	0.053808	0.091198	0.066749	0.098956	0.12369	0.10199	0.1175	0.1023	0.096855	0.11818	0.088788	0.03742	0.092803	0.052434	0.06911	0.044133	0.029616	0.0069643	0.0036902	0.00097634	0.0022194	0.0048162	0.004134	0.0037787	0.0046169	0.0022698	0.0037204	0.19419	0.21268	0.196	0.20654	-0.079588	-0.049953	0.13648	-0.075667	0.13606	0.04954	0.1045	0.12206	0.11753	0.071535	0.076926	0.11706	0.13686	0.10511	0.083524	0.078323	0.092222	0.12227	0.047126	0.017042	0.12742	-0.052911	-0.037551	0.028642	-0.075077	0.070858	-0.11409	0.028198	0.046757	0.08444	0.12413	0.08438	0.49515	0.10737	0.38516	0.29773	0.20821	-0.0024872	0.13607	0.072266	1.7085	388.5
0.0052124	0.047921	0.51168	0.14613	0.081763	0.039299	0.053002	0.031756	0.029265	0.0084075	0.035096	0.023529	0.013269	0.013418	0.010386	0.011465	0.0076983	0.011512	0.0082753	0.011623	0.028209	0.014442	0.0094869	0.042911	0.03181	0.033025	0.046404	0.018158	0.033385	0.028187	0.0122	0.039627	0.04047	0.51168	0.067956	0.040678	-0.027278	0.018307	0.095222	0.18616	0.35197	0.57616	0.50897	0.35156	0.043438	0.1079	0.090955	0.11184	0.0040702	0.25341	0.080067	0.042068	0.022436	0.026563	0.016332	0.0029641	0.0045905	0.011502	0.0042433	0.0035002	0.0026051	0.0011474	0.0042576	0.0013949	0.0027436	0.0038285	0.002864	0.0060362	0.0068848	0.0019152	0.022598	0.01618	0.017046	0.016715	0.0080769	0.0074277	0.0083713	0.0042675	0.0028601	0.0060162	0.062674	0.16822	0.10131	0.12006	0.10904	0.05569	0.044278	0.10884	0.0097604	0.14065	0.050501	0.034542	0.037504	0.13727	0.088623	0.13812	-0.057829	0.11568	0.13202	-0.13742	0.0037541	-0.0028004	-0.0076066	0.074276	-0.049966	0.025245	0.083178	0.12232	0.10517	-0.11254	-0.1313	-0.028487	0.002515	-0.084837	0.093355	-0.11405	0.56323	0.8151	0.74106	0.97895	0.28735	0.57594	0.48658	0.96273	0.6579	254.5
0.014411	0.1114	0.10357	0.42279	0.25525	0.18422	0.47747	0.41757	0.083283	0.10217	0.080448	0.1217	0.19174	0.33919	0.41901	0.39572	0.54371	0.42243	0.42839	0.22872	0.24492	0.35563	0.48868	0.042252	0.022081	0.031569	0.019738	0.034875	0.03831	0.023443	0.023556	0.036787	0.015979	0.54371	0.31689	0.20074	-0.11614	0.067156	0.34256	0.40037	0.46495	0.53009	0.57512	0.39844	0.092366	0.43979	0.82582	0.81773	0.059081	0.038477	0.083832	0.049276	0.037322	0.10779	0.068807	0.03295	0.029849	0.043765	0.06008	0.096534	0.18269	0.22621	0.23166	0.29481	0.2198	0.22395	0.12272	0.13594	0.1875	0.26318	0.011864	0.01121	0.0066634	0.0053225	0.0041048	0.019199	0.0067512	0.0050947	0.0082699	0.0059411	0.083298	0.29653	0.16767	0.21823	-0.12384	-0.031979	-0.10767	0.1063	0.043223	-0.069942	0.069113	0.039756	-0.10752	0.050853	0.085656	0.13488	0.060392	0.058107	-0.0087235	0.053986	0.096196	0.091012	0.064087	0.032861	0.081923	0.060465	-0.11412	0.1246	0.029061	0.14091	-0.13968	0.14073	-0.13997	-0.069082	0.11058	-0.047564	0.10224	0.1715	0.087548	0.31464	-0.030221	-0.019492	-0.033785	0.071975	1.7347	1583.5
0.012548	0.044713	0.11349	0.089786	0.074469	0.11008	0.30834	0.33728	0.34077	0.36227	0.34424	0.23747	0.23909	0.25706	0.31741	0.28005	0.27782	0.2838	0.27171	0.19431	0.16765	0.10978	0.21214	0.028577	0.018415	0.029089	0.015373	0.018084	0.0096054	0.021338	0.018591	0.025439	0.014671	0.36227	0.30215	0.17187	-0.13028	0.070914	0.3231	0.36954	0.42015	0.46978	0.50117	0.25391	0.12332	0.89426	1.0725	1.1058	0.010386	0.031553	0.015796	0.035558	0.037052	0.16199	0.18542	0.20197	0.19627	0.18235	0.12771	0.11922	0.12393	0.1593	0.14091	0.11471	0.13377	0.12657	0.097489	0.052357	0.055003	0.10627	0.010133	0.0054966	0.0060449	0.0021263	0.005283	0.0041048	0.0054769	0.0028091	0.0050105	0.0026597	0.15683	0.31561	0.2242	0.25182	0.12781	0.053792	0.089246	0.14142	0.13282	0.021948	-0.0041164	-0.019815	0.01694	0.0069254	0.061849	0.14053	0.11639	0.12387	0.13565	0.13034	0.13969	0.13828	0.1393	0.032457	0.14097	0.14124	0.093879	-0.11759	-0.11787	0.10986	0.083517	0.13756	-0.1398	0.099529	0.14093	-0.14119	-0.0055877	0.055953	0.12821	0.15331	-0.042893	-0.037671	-0.018328	-0.0018352	1.949	2437.5
0.013887	0.044276	0.14363	0.053977	0.072109	0.054355	0.11773	0.059085	0.083516	0.072391	0.2333	0.40355	0.49284	0.38537	0.5161	0.59339	0.56826	0.53656	0.40271	0.3087	0.16964	0.11085	0.34509	0.020159	0.024692	0.027256	0.038143	0.025465	0.023202	0.042524	0.018109	0.03812	0.035522	0.59339	0.34655	0.22511	-0.12144	0.05794	0.38584	0.47818	0.58798	0.70598	0.79539	0.23828	0.11385	0.44654	0.26901	0.30965	0.01064	0.019815	0.023265	0.037948	0.016826	0.060036	0.03228	0.044361	0.039611	0.13326	0.2251	0.27137	0.22353	0.25527	0.30297	0.27382	0.2867	0.22928	0.16785	0.087102	0.040514	0.1468	0.0055907	0.013264	0.013653	0.0074072	0.0045484	0.0067338	0.022069	0.0074799	0.0094065	0.0085286	0.044235	0.28802	0.157	0.21189	-0.020857	-0.11574	0.10317	0.083896	-0.13882	0.11925	0.046935	0.074245	0.045497	0.0093918	0.02859	0.039858	-0.0028373	0.0038738	-0.033962	-0.011548	0.038585	0.011898	0.051346	0.071015	0.0077659	0.014237	0.13697	0.062946	0.14127	-0.14062	0.11015	0.099983	0.099045	0.11685	-0.088373	-0.14068	0.073477	0.16236	0.16692	0.35179	-0.043399	-0.03262	-0.023979	0.070734	1.5394	458
0.0092479	0.07401	0.084097	0.079184	0.055649	0.023185	0.050868	0.051746	0.073141	0.09604	0.28568	0.38415	0.50792	0.47659	0.50933	0.45098	0.35808	0.27111	0.11025	0.15041	0.030149	0.018858	0.14102	0.019715	0.020309	0.024497	0.022368	0.046131	0.017078	0.030924	0.045545	0.017522	0.027178	0.50933	0.26617	0.12625	-0.13992	0.044361	0.31257	0.43068	0.58678	0.77016	0.89682	0.29297	0.17458	0.45637	0.33601	0.31547	0.0023159	0.021281	0.014999	0.025994	0.0032732	0.018619	0.026479	0.0372	0.048103	0.14678	0.19305	0.2567	0.24109	0.25763	0.22591	0.18169	0.14421	0.059511	0.082614	0.016276	0.0048845	0.065083	0.010009	0.0050784	0.0034973	0.0036213	0.012618	0.015978	0.0079725	0.01054	0.0080059	0.01401	0.12554	0.30375	0.13117	0.21337	0.10648	0.13412	-0.073928	0.048221	0.047012	-0.070503	0.11521	0.12243	0.14142	0.11046	0.13721	0.13013	0.12901	0.12909	0.14127	0.12529	0.072779	-0.10999	0.042077	0.058113	-0.018078	-0.13561	0.12463	-0.12861	0.13163	0.075183	0.088457	-0.13381	-0.13795	0.055573	-0.027335	0.03383	0.12596	0.23573	0.25153	0.39274	-0.036265	-0.0033697	0.013901	0.12214	1.5334	535
0.0077812	0.042541	0.067382	0.13125	0.21632	0.26516	0.063589	0.053723	0.03141	0.042082	0.046119	0.043974	0.048474	0.051306	0.10632	0.21023	0.27752	0.33406	0.36007	0.37488	0.28912	0.15619	0.0082144	0.0088208	0.0073473	0.010259	0.011567	0.00962	0.011831	0.022548	0.011053	0.011927	0.0099011	0.37488	0.17186	0.098235	-0.073629	0.034422	0.21231	0.32346	0.48519	0.688	0.78661	0.40625	0.20728	0.54359	0.66057	0.71839	0.01395	0.026007	0.0408	0.081524	0.10305	0.033478	0.026972	0.014608	0.021622	0.024625	0.018201	0.024852	0.011336	0.043022	0.10576	0.14101	0.17096	0.18616	0.19129	0.14796	0.079919	0.0043707	0.00011023	0.0016381	0.0051013	0.0033419	0.0022719	0.0050787	0.0018755	0.0026252	0.0033235	0.0049502	0.20028	0.26279	0.22545	0.23434	0.058636	0.090774	0.05961	0.07891	-0.0086768	0.083453	0.13844	-0.11292	0.11043	0.068966	-0.11388	0.11298	0.033625	0.13972	0.13596	0.1236	0.11511	0.10333	0.11853	0.11506	0.11527	0.072499	0.1411	0.13905	0.1322	-0.11121	-0.11646	0.049643	0.00042893	0.092397	-0.14108	-0.12818	0.47577	0.18741	0.32691	0.30661	0.20006	-0.0062934	0.069739	0.055679	1.517	623
